pid,name,site,price,broadcast_date,image_url
22563545,[반값세일] 필립스 면도기 이지프로 S2883/00,shopnt,119000,2025-09-06T19:33:00+09:00,http://cdn.image.buzzni.com/2025/08/25/0ar3Zy7p.jpg
35346996,파베르 엔드그레인 도마 특대형,nsmall,109000,2025-09-06T19:35:00+09:00,http://cdn.image.buzzni.com/2025/07/18/3vRdL5Ot.jpg
1078279796,방송에서만 2팩더 정호영셰프의 국내산 손질문어 총10팩 (1.5kg),gsshop,59900,2025-09-06T19:38:00+09:00,http://cdn.image.buzzni.com/2025/04/01/po6vFnIW.jpg
11915630,[기본에] 업그레이드 바로톡청소밀대세트★가격구성동일★,immall,39800,2025-09-06T19:40:00+09:00,http://cdn.image.buzzni.com/2025/09/03/VlvnF8Kj.jpg
12863695,☆[1대 전좌석] 더원카매트 프리미엄 4세대 카매트(방송에서만 1만원 할인),lotteimall,99000,2025-09-06T19:41:00+09:00,http://cdn.image.buzzni.com/2025/07/04/s2YFbU3I.jpg
22423888,(무)흥국생명 다사랑 암보험_(사은품: 스텐 사각 밧드 용기 10P세트 ),wshop,0,2025-09-06T20:21:00+09:00,http://cdn.image.buzzni.com/2025/08/18/4l7ghkrN.jpg
2153171279,[현대 단독 최저가] 다이슨 싸이클론 V10 무선청소기(레드/레드),hmall,449000,2025-09-06T20:25:00+09:00,https://image.hmall.com/static/2/1/17/53/2153171279_0.jpg
12872182,[롯데단독패키지]스킨 트리트먼트 피치 본품 2개+리필 3개+[사은품] 바이올렛 마카롱 본품 + [전고객]크림밤 +[포토리뷰시] 에스테틱 키트 ,lotteimall,149000,2025-09-06T20:25:00+09:00,http://cdn.image.buzzni.com/2025/09/05/N4wPLHoy.jpg
20067606,[특집전]한진관광 북해도 핵심일주 3박4일 대한항공 특집방송,ssgshop,0,2025-09-06T20:25:00+09:00,http://cdn.image.buzzni.com/2025/09/05/iaed6T1s.jpg
1071120351,로보락 Qrevo Curv 로봇청소기 /문턱 돌파/머리카락 엉킴방지/로봇팔 사각지대청소,gsshop,1590000,2025-09-06T20:30:00+09:00,https://asset.m-gs.kr/api/550/1/1071120351.jpg
5834535,한샘 올인원 인테리어 (10만원 백화점 상품권)_무료상담,kshop,0,2025-09-06T20:32:00+09:00,http://cdn.image.buzzni.com/2025/03/07/9A8u0VHt.jpg
1091560573,[2025신상] 센텔리안24 마데카 리프팅크림 57주년 한정판 스페셜에디션,gsshop,99000,2025-09-06T20:38:00+09:00,https://asset.m-gs.kr/api/550/1/1091560573.jpg
11890269,[무려 10팩][만블링]한우 1++ 스테이크 10팩 (총1.5kg),immall,69900,2025-09-06T20:40:00+09:00,"https://img.publichs.com/ECMCFO/share/product/69/02/89/17686700_600x600.jpg/dims/resize/Q_100,600"
12842420,●[16만원 SALE]  비에날씬 프로틴 (40g x 14포x 6박스) + 텀블러 + 비에날씬 프로틴  휴대용 2박스 (40g x 5포x 2박스),lotteimall,376000,2025-09-06T20:40:00+09:00,http://cdn.image.buzzni.com/2025/08/29/Bh40Whtx.jpg
35430594,전인화의 블랙큐브 쿡셀 홀로그램 큐브팬 4종 세트,nsmall,379000,2025-09-06T20:40:00+09:00,http://cdn.image.buzzni.com/2025/09/05/R19euqqa.jpg
